,N,trial_length
../DATA/processed/021post_trial56.csv,7,5.492
../DATA/processed/013post_trial41.csv,4,5.494
../DATA/processed/016pre_trial58.csv,3,5.498
../DATA/processed/026post_trial39.csv,6,5.496
../DATA/processed/013post_trial40.csv,6,5.494
../DATA/processed/004pre_trial35.csv,9,5.498
../DATA/processed/003pre_trial50.csv,6,5.496
../DATA/processed/019pre_trial15.csv,7,5.5
../DATA/processed/021post_trial42.csv,3,5.5
../DATA/processed/022pre_trial2.csv,10,5.49
../DATA/processed/008post_trial38.csv,8,5.486
../DATA/processed/004post_trial40.csv,5,5.494
../DATA/processed/020post_trial52.csv,10,5.498
../DATA/processed/019pre_trial42.csv,16,5.492
../DATA/processed/013pre_trial41.csv,5,5.496
../DATA/processed/024pre_trial7.csv,8,5.498
../DATA/processed/024pre_trial52.csv,8,5.5
../DATA/processed/014pre_trial36.csv,7,5.5
../DATA/processed/006pre_trial27.csv,4,5.5
../DATA/processed/002pre_trial22.csv,6,5.498
../DATA/processed/026post_trial53.csv,9,5.488
../DATA/processed/020post_trial34.csv,6,5.496
../DATA/processed/013post_trial6.csv,3,5.496
../DATA/processed/024post_trial12.csv,11,5.5
../DATA/processed/020post_trial19.csv,7,5.498
../DATA/processed/009pre_trial46.csv,6,5.492
../DATA/processed/019post_trial53.csv,10,5.492
../DATA/processed/006pre_trial10.csv,4,5.502
../DATA/processed/006post_trial2.csv,4,5.498
../DATA/processed/025post_trial43.csv,5,5.496
../DATA/processed/014pre_trial24.csv,9,5.496
../DATA/processed/004post_trial30.csv,4,5.488
../DATA/processed/023pre_trial32.csv,14,5.498
../DATA/processed/002pre_trial13.csv,6,5.496
../DATA/processed/022pre_trial46.csv,9,5.5
../DATA/processed/008post_trial15.csv,8,5.494
../DATA/processed/003post_trial54.csv,0,5.498
../DATA/processed/023post_trial46.csv,8,5.488
../DATA/processed/002post_trial3.csv,6,5.496
../DATA/processed/001post_trial55.csv,1,5.494
../DATA/processed/002post_trial38.csv,8,5.496
../DATA/processed/024post_trial19.csv,9,5.498
../DATA/processed/015pre_trial48.csv,8,5.492
../DATA/processed/020pre_trial9.csv,7,5.498
../DATA/processed/017pre_trial31.csv,4,5.488
../DATA/processed/019pre_trial26.csv,7,5.494
../DATA/processed/005pre_trial26.csv,11,5.5
../DATA/processed/002post_trial47.csv,6,5.496
../DATA/processed/004pre_trial49.csv,1,5.496
../DATA/processed/002pre_trial28.csv,8,5.5
../DATA/processed/001pre_trial29.csv,1,5.492
../DATA/processed/020post_trial21.csv,11,5.488
../DATA/processed/022pre_trial9.csv,7,5.498
../DATA/processed/015post_trial48.csv,3,5.5
../DATA/processed/023pre_trial25.csv,6,5.492
../DATA/processed/024pre_trial56.csv,9,5.498
../DATA/processed/003post_trial16.csv,2,5.488
../DATA/processed/016post_trial25.csv,2,5.498
../DATA/processed/003pre_trial31.csv,3,5.496
../DATA/processed/023post_trial24.csv,5,5.494
../DATA/processed/024post_trial56.csv,14,5.498
../DATA/processed/008post_trial49.csv,4,5.492
../DATA/processed/002pre_trial7.csv,6,5.49
../DATA/processed/026post_trial25.csv,10,5.492
../DATA/processed/001post_trial19.csv,2,5.498
../DATA/processed/013pre_trial36.csv,6,5.496
../DATA/processed/002pre_trial42.csv,6,5.488
../DATA/processed/023post_trial9.csv,6,5.494
../DATA/processed/026post_trial11.csv,9,5.49
../DATA/processed/020post_trial11.csv,11,5.494
../DATA/processed/017pre_trial15.csv,4,5.492
../DATA/processed/014post_trial25.csv,6,5.494
../DATA/processed/024pre_trial24.csv,11,5.486
../DATA/processed/013post_trial28.csv,2,5.49
../DATA/processed/026pre_trial30.csv,8,5.498
../DATA/processed/009post_trial55.csv,8,5.486
../DATA/processed/022pre_trial15.csv,10,5.492
../DATA/processed/004pre_trial15.csv,2,5.496
../DATA/processed/021post_trial10.csv,5,5.488
